
                                    #######################################################                                            
                                    #                        PDG data                     #                                            
                                    #      Default File name: data/pdg_hadrons.dat        #                                            
                                    #######################################################                                            


---------------------------------------------------------------------------------------------------------------------------------------
ID     PDGID          Name                isStable  mass(in GeV)  Spin Degeneracy     Baryon number(B)  Charge(Q)  Strangeness(S)      
---------------------------------------------------------------------------------------------------------------------------------------
0      111            pi0                 1         0.13498       1                   0                 0          0             
1      211            pi-b                1         0.13957       1                   0                 1          0             
2      -211           pi-                 1         0.13957       1                   0                 -1         0             
3      9000221        f0(600)             0         0.484         0                   0                 0          0             
4      321            K+                  1         0.49368       1                   0                 1          1             
5      -321           K+b                 1         0.49368       1                   0                 -1         -1            
6      311            K0                  1         0.49767       1                   0                 0          1             
7      130            K0L                 0         0.49767       0                   0                 0          0             
8      310            K0S                 0         0.49767       0                   0                 0          0             
9      -311           K0b                 1         0.49767       1                   0                 0          -1            
10     221            eta                 1         0.5473        1                   0                 0          0             
11     9000321        K0*(800)+           0         0.67          1                   0                 1          1             
12     9000311        K0*(800)0           0         0.67          1                   0                 0          1             
13     -9000321       K0*(800)+b          0         0.67          1                   0                 -1         -1            
14     -9000311       K0*(800)0b          0         0.67          1                   0                 0          -1            
15     113            rho0                0         0.7711        3                   0                 0          0             
16     213            rho+                0         0.7711        3                   0                 1          0             
17     -213           rho+b               0         0.7711        3                   0                 -1         0             
18     223            omega(782)          0         0.78257       3                   0                 0          0             
19     323            K*(892)+            0         0.89166       3                   0                 1          1             
20     -323           K*(892)+b           0         0.89166       3                   0                 -1         -1            
21     313            K*(892)0            0         0.8961        3                   0                 0          1             
22     -313           K*(892)0b           0         0.8961        3                   0                 0          -1            
23     2212           p                   1         0.93827       2                   1                 1          0             
24     -2212          pb                  1         0.93827       2                   -1                -1         0             
25     2112           n                   1         0.93956       2                   1                 0          0             
26     -2112          nb                  1         0.93956       2                   -1                0          0             
27     331            eta'(958)           0         0.95778       1                   0                 0          0             
28     9010221        f0(980)             0         0.98          1                   0                 0          0             
29     9000211        a0(980)+            0         0.9847        1                   0                 1          0             
30     9000111        a0(980)0            0         0.9847        1                   0                 0          0             
31     -9000211       a0(980)+b           0         0.9847        1                   0                 -1         0             
32     333            phi(1020)           0         1.01946       3                   0                 0          0             
33     3122           Lambda              1         1.11568       2                   1                 0          -1            
34     -3122          Lambdab             1         1.11568       2                   -1                0          1             
35     10223          h1(1170)            0         1.17          3                   0                 0          0             
36     3222           Sigma+              1         1.18937       2                   1                 1          -1            
37     -3222          Sigma+b             1         1.18937       2                   -1                -1         1             
38     3212           Sigma0              1         1.19264       2                   1                 0          -1            
39     -3212          Sigma0b             1         1.19264       2                   -1                0          1             
40     3112           Sigma-              1         1.19745       2                   1                 -1         -1            
41     -3112          Sigma-b             1         1.19745       2                   -1                1          1             
42     10113          b1(1235)0           0         1.2295        3                   0                 0          0             
43     10213          b1(1235)+           0         1.2295        3                   0                 1          0             
44     -10213         b1(1235)+b          0         1.2295        3                   0                 -1         0             
45     20213          a1(1260)+           0         1.23          3                   0                 1          0             
46     20113          a1(1260)0           0         1.23          3                   0                 0          0             
47     -20213         a1(1260)+b          0         1.23          3                   0                 -1         0             
48     1114           Delta(1232)-        0         1.232         4                   1                 -1         0             
49     2214           Delta(1232)+        0         1.232         4                   1                 1          0             
50     2114           Delta(1232)0        0         1.232         4                   1                 0          0             
51     2224           Delta(1232)++       0         1.232         4                   1                 2          0             
52     -2224          Delta(1232)++b      0         1.232         4                   -1                -2         0             
53     -2214          Delta(1232)+b       0         1.232         4                   -1                -1         0             
54     -2114          Delta(1232)0b       0         1.232         4                   -1                0          0             
55     -1114          Delta(1232)-b       0         1.232         4                   -1                1          0             
56     10313          K1(1270)0           0         1.273         3                   0                 0          1             
57     10323          K1(1270)+           0         1.273         3                   0                 1          1             
58     -10323         K1(1270)+b          0         1.273         3                   0                 -1         -1            
59     -10313         K1(1270)0b          0         1.273         3                   0                 0          -1            
60     225            f2(1270)            0         1.2754        5                   0                 0          0             
61     20223          f1(1285)            0         1.2819        3                   0                 0          0             
62     100221         eta(1295)           0         1.293         1                   0                 0          0             
63     100211         pi(1300)+           0         1.3           1                   0                 1          0             
64     100111         pi(1300)0           0         1.3           1                   0                 0          0             
65     -100211        pi(1300)+b          0         1.3           1                   0                 -1         0             
66     3322           Ksi0                1         1.31483       2                   1                 0          -2            
67     -3322          Ksi0b               1         1.31483       2                   -1                0          2             
68     115            a2(1320)0           0         1.318         5                   0                 0          0             
69     215            a2(1320)+           0         1.318         5                   0                 1          0             
70     -215           a2(1320)+b          0         1.318         5                   0                 -1         0             
71     3312           Ksi-                1         1.32131       2                   1                 -1         -2            
72     -3312          Ksi-b               1         1.32131       2                   -1                1          2             
73     10221          f0(1370)            0         1.35          1                   0                 0          0             
74     9000213        pi1(1400)+          0         1.351         3                   0                 1          0             
75     9000113        pi1(1400)0          0         1.351         3                   0                 0          0             
76     -9000213       pi1(1400)+b         0         1.351         3                   0                 -1         0             
77     3224           Sigma(1385)+        0         1.3828        4                   1                 1          -1            
78     -3224          Sigma(1385)+b       0         1.3828        4                   -1                -1         1             
79     3214           Sigma(1385)0        0         1.3837        4                   1                 0          -1            
80     -3214          Sigma(1385)0b       0         1.3837        4                   -1                0          1             
81     10333          h1(1380)            0         1.386         3                   0                 0          0             
82     3114           Sigma(1385)-        0         1.3872        4                   1                 -1         -1            
83     -3114          Sigma(1385)-b       0         1.3872        4                   -1                1          1             
84     20323          K1(1400)+           0         1.402         3                   0                 1          1             
85     20313          K1(1400)0           0         1.402         3                   0                 0          1             
86     -20323         K1(1400)+b          0         1.402         3                   0                 -1         -1            
87     -20313         K1(1400)0b          0         1.402         3                   0                 0          -1            
88     13122          Lambda(1405)        0         1.406         2                   1                 0          -1            
89     -13122         Lambda(1405)b       0         1.406         2                   -1                0          1             
90     10321          K0*(1430)+          0         1.412         1                   0                 1          1             
